COD DEPART,DEPARTAMENTO,COD MUN,MUNICIPIO,GRUP CULTIVO,CULTIVO,AÑO,AREA SEMBRADA (HA),AREA COSECHADA (HA),PRODUCCION (T),EST FISC PRODUCCION,NOM CIENTIFICO,CICLO CULTIVO,PRECIPITACIONES (MM),HUMEDAD (%),TEMPERATURA MAXIMA (C),TEMPERATURA MINIMA (C),BRILLO SOLAR (Horas sol diarias),LONGITUD,LATITUD
68,SANTANDER,68689,SAN VICENTE DE CHUCURI,OTROS PERMANENTES,CACAO,2007,13353,12000.0,7200,GRANO SECO,THEOBROMA CACAO,PERMANENTE,258.58748767905485,82.75622619619811,31.43007324874137,17.879905527913674,5.135068493150685,-73.41101878,6.880378827
68,SANTANDER,68235,EL CARMEN DE CHUCURI,OTROS PERMANENTES,CACAO,2007,12272,7500.0,4500,GRANO SECO,THEOBROMA CACAO,PERMANENTE,171.59891741886793,89.94161335596517,31.009574233978718,18.891192386373824,5.135068493150685,-73.51126775,6.697907475
68,SANTANDER,68385,LANDAZURI,OTROS PERMANENTES,CACAO,2007,6969,5925.0,2993,GRANO SECO,THEOBROMA CACAO,PERMANENTE,411.3194954909004,79.12035924281248,31.368764264524458,17.504593502113824,5.135068493150685,-73.81109302,6.218747305
68,SANTANDER,68615,RIONEGRO,OTROS PERMANENTES,CACAO,2007,4576,4020.0,2231,GRANO SECO,THEOBROMA CACAO,PERMANENTE,76.01925968311284,88.08850790440657,33.24673301314234,18.719769952971745,5.135068493150685,-73.15014208,7.26500895
68,SANTANDER,68190,CIMITARRA,OTROS PERMANENTES,CACAO,2007,2050,1410.0,807,GRANO SECO,THEOBROMA CACAO,PERMANENTE,374.43628213579564,85.3428650485562,31.93027675032075,18.344627376423038,5.135068493150685,-73.95257152,6.320630225
68,SANTANDER,68406,LEBRIJA,OTROS PERMANENTES,CACAO,2007,1992,1850.0,1480,GRANO SECO,THEOBROMA CACAO,PERMANENTE,299.60409250238433,83.7737150958083,33.995205454504955,18.8188850047004,5.135068493150685,-73.21955259,7.113355717
68,SANTANDER,68255,EL PLAYON,OTROS PERMANENTES,CACAO,2007,1360,1300.0,660,GRANO SECO,THEOBROMA CACAO,PERMANENTE,192.96252739418384,93.81424334818652,32.951107157626666,19.068951532437612,5.135068493150685,-73.20287626,7.470716699
68,SANTANDER,68397,LA PAZ,OTROS PERMANENTES,CACAO,2007,1160,700.0,490,GRANO SECO,THEOBROMA CACAO,PERMANENTE,182.16133722669605,97.24017940849421,33.13104343880969,18.445081980164645,5.135068493150685,-73.58959946,6.178504687
68,SANTANDER,68092,BETULIA,OTROS PERMANENTES,CACAO,2007,571,346.0,242,GRANO SECO,THEOBROMA CACAO,PERMANENTE,50.2494759613495,97.49631273205945,34.753512378583075,18.579089254303348,5.135068493150685,-73.28367135,6.899523503
68,SANTANDER,68720,SANTA HELENA DEL OPON,OTROS PERMANENTES,CACAO,2007,423,330.0,198,GRANO SECO,THEOBROMA CACAO,PERMANENTE,518.3542677891454,89.06097393136804,32.891797402961004,19.19827078690973,5.135068493150685,-73.61679616,6.33964198
68,SANTANDER,68377,LA BELLEZA,OTROS PERMANENTES,CACAO,2007,420,400.0,200,GRANO SECO,THEOBROMA CACAO,PERMANENTE,426.5474399656859,92.99975692277286,30.69246447159187,18.41932116029772,5.135068493150685,-73.96562474,5.859553599
68,SANTANDER,68101,BOLIVAR,OTROS PERMANENTES,CACAO,2007,295,135.0,45,GRANO SECO,THEOBROMA CACAO,PERMANENTE,458.62755730645705,92.33052714696412,32.02543155484011,18.751146374735097,5.135068493150685,-73.77134341,5.98895175
68,SANTANDER,68861,VELEZ,OTROS PERMANENTES,CACAO,2007,251,141.0,78,GRANO SECO,THEOBROMA CACAO,PERMANENTE,347.5201334990678,82.62434306136124,33.39990955311776,20.03564611335463,5.135068493150685,-73.66629907,6.010953449
68,SANTANDER,68245,EL GUACAMAYO,OTROS PERMANENTES,CACAO,2007,227,102.0,61,GRANO SECO,THEOBROMA CACAO,PERMANENTE,264.48814753954684,85.04303323259273,34.013012198491545,18.7889854094392,5.135068493150685,-73.49689422,6.245120155
68,SANTANDER,68307,GIRON,OTROS PERMANENTES,CACAO,2007,203,125.0,100,GRANO SECO,THEOBROMA CACAO,PERMANENTE,368.22111615453673,87.72124214960873,33.16591309089319,18.84758044180819,5.135068493150685,-73.92885717,6.126894467
68,SANTANDER,68773,SUCRE,OTROS PERMANENTES,CACAO,2007,200,200.0,100,GRANO SECO,THEOBROMA CACAO,PERMANENTE,173.15469856021417,89.09624402450729,32.42548877483946,19.21092427824765,5.135068493150685,-73.79097771,5.918740382
68,SANTANDER,68344,HATO,OTROS PERMANENTES,CACAO,2007,137,118.0,62,GRANO SECO,THEOBROMA CACAO,PERMANENTE,121.11461364698542,81.82917084512351,32.1160003632971,18.067413936478975,5.135068493150685,-73.30827044,6.543874338
68,SANTANDER,68322,GUAPOTA,OTROS PERMANENTES,CACAO,2007,130,130.0,99,GRANO SECO,THEOBROMA CACAO,PERMANENTE,379.9418401718345,90.80463172878446,30.69329763720774,19.427786064758788,5.135068493150685,-73.3206973,6.308585606
68,SANTANDER,68745,SIMACOTA,OTROS PERMANENTES,CACAO,2007,110,75.0,53,GRANO SECO,THEOBROMA CACAO,PERMANENTE,261.08402533959986,98.30629624773508,28.402498503972375,18.389285557703595,5.135068493150685,-73.33736657,6.443469572
68,SANTANDER,68271,FLORIAN,OTROS PERMANENTES,CACAO,2007,100,50.0,40,GRANO SECO,THEOBROMA CACAO,PERMANENTE,333.40910449512364,91.24084805372016,33.40591098920113,18.563635731834317,5.135068493150685,-73.97142356,5.804658988
68,SANTANDER,68081,BARRANCABERMEJA,OTROS PERMANENTES,CACAO,2007,70,58.0,35,GRANO SECO,THEOBROMA CACAO,PERMANENTE,13.345385565336016,90.194616390682,35.330053457737094,19.493836850748963,5.135068493150685,-73.84995673,7.064965732
68,SANTANDER,68001,BUCARAMANGA,OTROS PERMANENTES,CACAO,2007,59,30.0,18,GRANO SECO,THEOBROMA CACAO,PERMANENTE,516.1926993835946,99.25209195101161,30.35558336473156,17.540849636577114,5.135068493150685,-73.13259762,7.116268427
68,SANTANDER,68755,SOCORRO,OTROS PERMANENTES,CACAO,2007,50,10.0,5,GRANO SECO,THEOBROMA CACAO,PERMANENTE,206.2246763699833,71.61091113934128,30.62451644117159,18.750367591620332,5.135068493150685,-73.26119603,6.463851447
68,SANTANDER,68296,GALAN,OTROS PERMANENTES,CACAO,2007,46,42.0,25,GRANO SECO,THEOBROMA CACAO,PERMANENTE,287.98667378869595,80.75384090645039,31.38361519380797,17.703777386175577,5.135068493150685,-73.28776422,6.638415125
68,SANTANDER,68250,EL PEÑON,OTROS PERMANENTES,CACAO,2007,42,28.0,20,GRANO SECO,THEOBROMA CACAO,PERMANENTE,258.2855671484137,103.29448073853627,33.42788541435368,18.707949966783524,5.135068493150685,-73.81564892,6.055050627
68,SANTANDER,68211,CONTRATACION,OTROS PERMANENTES,CACAO,2007,41,40.0,18,GRANO SECO,THEOBROMA CACAO,PERMANENTE,180.9083315477834,94.86391982913011,29.68877375623971,20.060849547948276,5.135068493150685,-73.47442506,6.290558603
68,SANTANDER,68655,SABANA DE TORRES,OTROS PERMANENTES,CACAO,2007,38,993.3529411764706,0,GRANO SECO,THEOBROMA CACAO,PERMANENTE,384.47224588851225,88.7769338174825,30.067937629050764,18.89490075339787,5.135068493150685,-73.49905188,7.391911794
68,SANTANDER,68276,FLORIDABLANCA,OTROS PERMANENTES,CACAO,2007,35,15.0,12,GRANO SECO,THEOBROMA CACAO,PERMANENTE,470.9025709604212,91.43278945297443,29.735114293964962,18.219269132942664,5.135068493150685,-73.09903071,7.072364503
68,SANTANDER,68524,PALMAS DEL SOCORRO,OTROS PERMANENTES,CACAO,2007,30,20.0,12,GRANO SECO,THEOBROMA CACAO,PERMANENTE,93.04446363321955,95.0595330321201,31.147162153037645,18.022534064585287,5.135068493150685,-73.28776217,6.406139399
